lh.aparc.foldind	lh_bankssts_foldind	lh_caudalanteriorcingulate_foldind	lh_caudalmiddlefrontal_foldind	lh_cuneus_foldind	lh_entorhinal_foldind	lh_fusiform_foldind	lh_inferiorparietal_foldind	lh_inferiortemporal_foldind	lh_isthmuscingulate_foldind	lh_lateraloccipital_foldind	lh_lateralorbitofrontal_foldind	lh_lingual_foldind	lh_medialorbitofrontal_foldind	lh_middletemporal_foldind	lh_parahippocampal_foldind	lh_paracentral_foldind	lh_parsopercularis_foldind	lh_parsorbitalis_foldind	lh_parstriangularis_foldind	lh_pericalcarine_foldind	lh_postcentral_foldind	lh_posteriorcingulate_foldind	lh_precentral_foldind	lh_precuneus_foldind	lh_rostralanteriorcingulate_foldind	lh_rostralmiddlefrontal_foldind	lh_superiorfrontal_foldind	lh_superiorparietal_foldind	lh_superiortemporal_foldind	lh_supramarginal_foldind	lh_frontalpole_foldind	lh_temporalpole_foldind	lh_transversetemporal_foldind	lh_insula_foldind	BrainSegVolNotVent	eTIV
sub-SAN_086	4.0	7.0	21.0	22.0	3.0	38.0	57.0	49.0	16.0	106.0	38.0	43.0	31.0	35.0	8.0	9.0	21.0	11.0	13.0	19.0	43.0	15.0	53.0	49.0	14.0	73.0	76.0	61.0	39.0	51.0	5.0	7.0	7.0	23.0	1045176.0	966113.31728
sub-SAN_087	8.0	11.0	17.0	31.0	5.0	44.0	60.0	39.0	20.0	90.0	36.0	63.0	37.0	47.0	7.0	10.0	20.0	13.0	15.0	30.0	43.0	13.0	52.0	48.0	12.0	85.0	76.0	71.0	39.0	44.0	6.0	8.0	4.0	21.0	1058268.0	973560.220185
sub-SAN_088	10.0	8.0	23.0	23.0	5.0	53.0	70.0	44.0	23.0	85.0	35.0	46.0	32.0	45.0	4.0	12.0	15.0	7.0	14.0	26.0	50.0	23.0	57.0	57.0	12.0	80.0	79.0	75.0	45.0	62.0	5.0	7.0	3.0	20.0	1122274.0	1065299.971399
sub-SAN_089	15.0	5.0	26.0	15.0	4.0	42.0	70.0	39.0	16.0	99.0	35.0	43.0	34.0	51.0	4.0	13.0	23.0	11.0	13.0	19.0	45.0	18.0	44.0	48.0	11.0	75.0	87.0	61.0	63.0	61.0	6.0	7.0	5.0	32.0	1097445.0	1012650.186745
sub-SAN_090	12.0	9.0	25.0	28.0	3.0	52.0	66.0	43.0	18.0	82.0	45.0	59.0	39.0	45.0	6.0	13.0	22.0	12.0	18.0	18.0	48.0	18.0	59.0	60.0	20.0	85.0	91.0	85.0	54.0	71.0	10.0	7.0	8.0	23.0	1164070.0	1067484.879366
sub-SAN_091	9.0	21.0	20.0	30.0	2.0	38.0	75.0	50.0	17.0	89.0	34.0	53.0	34.0	48.0	5.0	11.0	19.0	16.0	16.0	26.0	45.0	24.0	47.0	52.0	13.0	81.0	75.0	70.0	36.0	51.0	6.0	9.0	5.0	14.0	990041.0	934759.400989
sub-SAN_092	5.0	12.0	23.0	22.0	9.0	41.0	54.0	46.0	14.0	84.0	28.0	39.0	35.0	38.0	5.0	11.0	17.0	10.0	12.0	24.0	42.0	16.0	51.0	41.0	9.0	65.0	72.0	83.0	47.0	56.0	5.0	7.0	5.0	22.0	995584.0	929454.917881
sub-SAN_093	5.0	6.0	24.0	20.0	3.0	35.0	54.0	48.0	19.0	74.0	30.0	46.0	25.0	39.0	4.0	12.0	18.0	9.0	11.0	30.0	43.0	15.0	56.0	49.0	8.0	78.0	70.0	80.0	39.0	54.0	4.0	9.0	6.0	29.0	1054842.0	987077.525299
sub-SAN_094	5.0	14.0	18.0	22.0	3.0	34.0	40.0	40.0	10.0	80.0	32.0	47.0	28.0	34.0	3.0	8.0	18.0	10.0	14.0	22.0	40.0	15.0	31.0	33.0	10.0	68.0	57.0	53.0	30.0	33.0	6.0	7.0	5.0	22.0	903886.0	831252.945236
sub-SAN_095	8.0	9.0	18.0	31.0	4.0	48.0	57.0	36.0	17.0	83.0	33.0	49.0	33.0	39.0	5.0	19.0	15.0	12.0	14.0	29.0	47.0	18.0	48.0	34.0	5.0	71.0	67.0	68.0	39.0	54.0	6.0	7.0	6.0	22.0	917980.0	847299.583847
