rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
sub-SAN_079	8.0	18.0	29.0	35.0	6.0	48.0	78.0	57.0	20.0	85.0	49.0	43.0	46.0	58.0	6.0	15.0	21.0	14.0	25.0	24.0	39.0	24.0	61.0	58.0	11.0	85.0	102.0	75.0	50.0	55.0	8.0	8.0	6.0	21.0	1212131.0	1185113.767969
sub-SAN_080	3.0	11.0	25.0	30.0	3.0	42.0	61.0	34.0	8.0	89.0	35.0	49.0	26.0	37.0	9.0	10.0	14.0	12.0	10.0	25.0	37.0	13.0	48.0	45.0	5.0	63.0	72.0	62.0	28.0	38.0	8.0	6.0	3.0	18.0	1018699.0	910643.561692
sub-SAN_081	6.0	11.0	17.0	34.0	5.0	26.0	61.0	45.0	14.0	72.0	46.0	59.0	32.0	45.0	6.0	13.0	20.0	15.0	18.0	33.0	40.0	21.0	48.0	49.0	11.0	83.0	78.0	65.0	44.0	52.0	7.0	8.0	5.0	15.0	989420.0	902402.706521
sub-SAN_082	6.0	11.0	16.0	31.0	1.0	41.0	65.0	39.0	19.0	89.0	46.0	55.0	34.0	39.0	6.0	13.0	22.0	12.0	28.0	31.0	39.0	17.0	45.0	43.0	8.0	91.0	82.0	65.0	32.0	45.0	9.0	8.0	4.0	23.0	1105528.0	992230.569579
sub-SAN_083	4.0	12.0	21.0	24.0	1.0	34.0	53.0	41.0	11.0	76.0	23.0	44.0	35.0	39.0	3.0	14.0	15.0	12.0	19.0	21.0	38.0	17.0	43.0	44.0	8.0	77.0	69.0	52.0	32.0	39.0	8.0	7.0	5.0	17.0	853362.0	748037.616908
sub-SAN_084	3.0	14.0	18.0	35.0	3.0	39.0	72.0	49.0	13.0	94.0	42.0	72.0	37.0	44.0	5.0	23.0	15.0	15.0	18.0	35.0	47.0	20.0	60.0	52.0	6.0	100.0	86.0	75.0	38.0	49.0	7.0	9.0	6.0	27.0	1221353.0	1140963.063233
sub-SAN_085	8.0	13.0	18.0	27.0	2.0	28.0	61.0	47.0	17.0	65.0	32.0	62.0	36.0	50.0	4.0	15.0	17.0	13.0	35.0	32.0	41.0	18.0	42.0	47.0	7.0	116.0	84.0	60.0	39.0	42.0	7.0	8.0	3.0	28.0	1040639.0	984483.093523
sub-SAN_086	6.0	14.0	27.0	26.0	2.0	38.0	59.0	46.0	12.0	84.0	38.0	55.0	35.0	35.0	7.0	15.0	13.0	12.0	20.0	30.0	35.0	19.0	51.0	46.0	9.0	65.0	72.0	64.0	33.0	42.0	6.0	7.0	7.0	26.0	1045176.0	966113.31728
sub-SAN_087	6.0	12.0	17.0	31.0	4.0	37.0	73.0	60.0	18.0	84.0	37.0	71.0	32.0	48.0	6.0	11.0	16.0	17.0	21.0	33.0	37.0	14.0	52.0	53.0	6.0	91.0	77.0	67.0	29.0	49.0	8.0	7.0	3.0	19.0	1058268.0	973560.220185
sub-SAN_088	8.0	12.0	22.0	23.0	5.0	36.0	86.0	56.0	15.0	86.0	42.0	51.0	36.0	50.0	8.0	14.0	14.0	13.0	11.0	30.0	51.0	19.0	54.0	50.0	5.0	84.0	76.0	70.0	36.0	47.0	7.0	9.0	3.0	26.0	1122274.0	1065299.971399
sub-SAN_089	7.0	8.0	16.0	23.0	5.0	47.0	75.0	41.0	11.0	91.0	44.0	45.0	30.0	42.0	5.0	17.0	14.0	13.0	21.0	16.0	42.0	15.0	48.0	49.0	7.0	76.0	79.0	76.0	45.0	41.0	8.0	9.0	5.0	29.0	1097445.0	1012650.186745
sub-SAN_090	8.0	18.0	23.0	28.0	3.0	35.0	82.0	33.0	18.0	84.0	44.0	65.0	38.0	49.0	6.0	13.0	19.0	17.0	20.0	19.0	44.0	22.0	51.0	60.0	8.0	97.0	85.0	79.0	44.0	50.0	11.0	6.0	4.0	19.0	1164070.0	1067484.879366
sub-SAN_091	8.0	14.0	18.0	24.0	7.0	37.0	77.0	44.0	16.0	91.0	37.0	62.0	29.0	44.0	5.0	17.0	11.0	12.0	16.0	33.0	35.0	14.0	54.0	53.0	7.0	86.0	78.0	70.0	33.0	50.0	8.0	8.0	3.0	22.0	990041.0	934759.400989
sub-SAN_092	9.0	8.0	18.0	33.0	4.0	35.0	69.0	40.0	14.0	75.0	25.0	40.0	27.0	40.0	8.0	14.0	15.0	11.0	18.0	27.0	42.0	18.0	56.0	40.0	5.0	63.0	66.0	67.0	41.0	46.0	6.0	6.0	5.0	21.0	995584.0	929454.917881
sub-SAN_093	5.0	15.0	20.0	26.0	3.0	37.0	60.0	43.0	16.0	87.0	37.0	50.0	31.0	46.0	6.0	12.0	15.0	10.0	17.0	27.0	35.0	19.0	43.0	52.0	8.0	78.0	67.0	68.0	33.0	51.0	8.0	10.0	4.0	14.0	1054842.0	987077.525299
sub-SAN_094	6.0	10.0	21.0	23.0	3.0	31.0	54.0	30.0	9.0	81.0	34.0	52.0	27.0	34.0	4.0	12.0	10.0	10.0	17.0	24.0	28.0	17.0	33.0	36.0	7.0	61.0	61.0	52.0	26.0	30.0	6.0	6.0	9.0	20.0	903886.0	831252.945236
sub-SAN_095	6.0	9.0	19.0	31.0	4.0	48.0	59.0	50.0	14.0	80.0	34.0	50.0	27.0	47.0	5.0	16.0	15.0	10.0	15.0	32.0	35.0	24.0	50.0	37.0	5.0	72.0	69.0	56.0	34.0	38.0	8.0	9.0	4.0	30.0	917980.0	847299.583847
